date,iteration,mae,rmse
2024-05-16,1,70016.74911572915,72671.13884158725
2024-05-16,2,64633.04350458334,67603.60304228895
2024-05-16,3,61848.950053364584,64950.218521115115
2024-05-16,4,60773.23527754165,63966.760952560064
2024-05-16,5,60518.94866001041,63723.03480811596
2024-05-16,6,60415.55458503124,63615.30093181068
2024-05-16,7,60387.1409566875,63588.745519178025
2024-05-16,8,60381.72614677082,63586.37951467491
2024-05-16,9,60381.53319656249,63586.29528116019
2024-05-16,10,60381.53319656249,63586.29528116019
2024-05-16,11,60381.53319656249,63586.29528116019
2024-05-16,12,60381.53319656249,63586.29528116019
2024-05-16,13,60381.53319656249,63586.29528116019
2024-05-16,14,60381.53319656249,63586.29528116019
2024-05-16,15,60381.53319656249,63586.29528116019
2024-05-22,1,73542.9261228125,75423.4593114872
2024-05-22,2,67247.27028760417,69413.49819049369
2024-05-22,3,64634.437061812496,66908.08889322399
2024-05-22,4,63984.374491999995,66252.25136347854
2024-05-22,5,63898.94948958332,66177.24971942052
2024-05-22,6,63896.79830149998,66176.26228091755
2024-05-22,7,63890.261500208326,66173.26681688211
2024-05-22,8,63890.261500208326,66173.26681688211
2024-05-22,9,63890.261500208326,66173.26681688211
2024-05-22,10,63890.261500208326,66173.26681688211
2024-05-22,11,63890.261500208326,66173.26681688211
2024-05-22,12,63890.261500208326,66173.26681688211
2024-05-22,13,63890.261500208326,66173.26681688211
2024-05-22,14,63890.261500208326,66173.26681688211
2024-05-22,15,63890.261500208326,66173.26681688211
2024-03-05,1,75999.81726114583,80168.83331093412
2024-03-05,2,69856.16948183335,74370.93042317194
2024-03-05,3,68185.92806164584,72945.24264121015
2024-03-05,4,67685.63954197917,72567.6719969726
2024-03-05,5,67571.08274702083,72482.1031355974
2024-03-05,6,67553.92692416666,72475.2024951919
2024-03-05,7,67553.92692416666,72475.2024951919
2024-03-05,8,67553.92692416666,72475.2024951919
2024-03-05,9,67553.92692416666,72475.2024951919
2024-03-05,10,67553.92692416666,72475.2024951919
2024-03-05,11,67553.92692416666,72475.2024951919
2024-03-05,12,67553.92692416666,72475.2024951919
2024-03-05,13,67553.92692416666,72475.2024951919
2024-03-05,14,67553.92692416666,72475.2024951919
2024-03-05,15,67553.92692416666,72475.2024951919
2024-06-16,1,58510.80226947915,61130.15228546792
2024-06-16,2,53603.19091297916,56522.62923230277
2024-06-16,3,51050.291104416676,54102.89593496609
2024-06-16,4,50064.00978405208,53176.19508824637
2024-06-16,5,49723.21754887499,52898.961817960626
2024-06-16,6,49652.952941625,52840.07367053433
2024-06-16,7,49616.608140624994,52817.86085672764
2024-06-16,8,49616.608140624994,52817.86085672764
2024-06-16,9,49616.608140624994,52817.86085672764
2024-06-16,10,49616.608140624994,52817.86085672764
2024-06-16,11,49616.608140624994,52817.86085672764
2024-06-16,12,49616.608140624994,52817.86085672764
2024-06-16,13,49616.608140624994,52817.86085672764
2024-06-16,14,49616.608140624994,52817.86085672764
2024-06-16,15,49616.608140624994,52817.86085672764
2024-06-21,1,72756.0742603125,74941.77019611743
2024-06-21,2,67234.17281447917,69823.5455750299
2024-06-21,3,65106.71159283334,67850.52790485953
2024-06-21,4,64548.31256937501,67282.62852881523
2024-06-21,5,64479.88154139582,67227.84315744921
2024-06-21,6,64475.24880958332,67223.8811075882
2024-06-21,7,64475.24880958332,67223.8811075882
2024-06-21,8,64475.24880958332,67223.8811075882
2024-06-21,9,64475.24880958332,67223.8811075882
2024-06-21,10,64475.24880958332,67223.8811075882
2024-06-21,11,64475.24880958332,67223.8811075882
2024-06-21,12,64475.24880958332,67223.8811075882
2024-06-21,13,64475.24880958332,67223.8811075882
2024-06-21,14,64475.24880958332,67223.8811075882
2024-06-21,15,64475.24880958332,67223.8811075882
2024-08-20,1,90495.91388000001,91933.18396507614
2024-08-20,2,86057.39397843751,87687.55619156295
2024-08-20,3,84926.8665725,86642.34375989412
2024-08-20,4,84783.42523427084,86523.99473869147
2024-08-20,5,84764.67376479167,86508.1574655246
2024-08-20,6,84764.67376479167,86508.1574655246
2024-08-20,7,84764.67376479167,86508.1574655246
2024-08-20,8,84764.67376479167,86508.1574655246
2024-08-20,9,84764.67376479167,86508.1574655246
2024-08-20,10,84764.67376479167,86508.1574655246
2024-08-20,11,84764.67376479167,86508.1574655246
2024-08-20,12,84764.67376479167,86508.1574655246
2024-08-20,13,84764.67376479167,86508.1574655246
2024-08-20,14,84764.67376479167,86508.1574655246
2024-08-20,15,84764.67376479167,86508.1574655246
